sembrada,cosechada,siniestrada,volumenproduccion,latitud,longitud,altitud,cicloproductivo_Otoño-Invierno,cicloproductivo_Perennes,cicloproductivo_Primavera-Verano,modalidad_Riego,modalidad_Temporal,cultivo_Avena forrajera en verde,cultivo_Frijol,cultivo_Maíz grano,cultivo_Pastos y praderas,cultivo_Tomate rojo (jitomate),K=8 Cluster Labels,rendimiento,estado
4545.0,4545.0,0.0,27042.75,21.168611,-102.461111,1779.0,0,0,1,0,1,0,0,1,0,0,2,5.95,Jalisco
4850.0,4850.0,0.0,24217.8,19.163225,-99.618665,2691.0,0,0,1,0,1,0,0,1,0,0,2,4.99,México
12620.0,12620.0,0.0,155478.0,23.174895000000003,-102.868229,2180.0,0,0,1,0,1,1,0,0,0,0,5,12.32,Zacatecas
3197.0,3197.0,0.0,27654.05,24.767219,-107.69676,12.0,0,0,1,1,0,0,0,1,0,0,7,8.65,Sinaloa
6000.0,6000.0,0.0,21420.0,18.447449,-96.360315,58.0,0,0,1,0,1,0,0,1,0,0,2,3.57,Veracruz
3062.0,3062.0,0.0,26317.2,20.271234,-102.561058,1528.0,0,0,1,1,0,0,0,1,0,0,2,8.59,Michoacán
7984.0,7864.5,119.5,6683.57,24.023988,-104.670194,1890.0,0,0,1,0,1,0,1,0,0,0,1,0.85,Durango
79.3,79.3,0.0,10021.5,20.431795,-101.725044,1770.0,1,0,0,1,0,0,0,0,0,1,4,126.37,Guanajuato
9135.0,9135.0,0.0,29156.6,16.551674,-92.807508,403.0,0,0,1,0,1,0,0,1,0,0,2,3.19,Chiapas
5324.0,5324.0,0.0,24752.47,19.181214,-99.467439,2622.0,0,0,1,0,1,0,0,1,0,0,2,4.65,México
10151.0,10151.0,0.0,18271.8,18.920482,-100.299446,1128.0,0,0,1,0,1,0,0,1,0,0,2,1.8,México
8353.0,8353.0,0.0,19211.9,18.905696,-100.153403,1328.0,0,0,1,0,1,0,0,1,0,0,2,2.3,México
2320.0,2320.0,0.0,105560.0,29.0749,-110.958535,200.0,1,0,0,1,0,0,0,0,1,0,7,45.5,Sonora
52.0,52.0,0.0,10330.54,25.570107,-103.496417,1130.0,0,0,1,1,0,0,0,0,0,1,4,198.66,Durango
6947.0,6947.0,0.0,97272.0,20.125918,-88.923985,42.0,0,1,0,0,1,0,0,0,1,0,6,14.0,Yucatán
17000.0,17000.0,0.0,21681.0,16.908038,-92.095827,893.0,0,0,1,0,1,0,0,1,0,0,2,1.28,Chiapas
10350.0,10350.0,0.0,22770.0,19.491982,-97.492218,2331.0,0,0,1,0,1,0,0,1,0,0,2,2.2,Puebla
5012.0,5012.0,0.0,25957.03,19.470014000000003,-99.594906,2685.0,0,0,1,0,1,0,0,1,0,0,2,5.18,México
